disease,description
Fungal infections,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
Fungal infections (oral,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
Fungal infections of eyeTreatment of Fungal infections,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
Fungal infections of mouth (Thrush)Treatment of Fungal infections,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
Fungal infections of skin,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
Fungal infections of vagina,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
Fungal infections of vaginaTreatment of Fungal infections,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
Fungal nail infections,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
Fungal skin infections,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
Fungal skin infections (e.g.,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
Fungal skin infections Fungal nail infections,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
Fungal skin infectionsTreatment of Fungal infections,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
GERD,A digestive disease where stomach acid irritates the food pipe lining. It causes frequent heartburn. Smaller meals and avoiding spicy foods are common precautions.
GERD (Heartburn),A digestive disease where stomach acid irritates the food pipe lining. It causes frequent heartburn. Smaller meals and avoiding spicy foods are common precautions.
GI spasms,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Gallstones,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Gastroenteritis,"An intestinal infection accompanied by diarrhea, cramps, and vomiting. Usually caused by food poisoning or viral bugs. Staying hydrated is the main treatment."
Gastroesophageal reflux disease (Acid reflux),"Diseases affecting the digestive tract, including the stomach and intestines. They cause varying symptoms like pain or bloating. Dietary adjustments and medical care are common."
Gastroesophageal reflux disease (Acid reflux) Indigestion,"Diseases affecting the digestive tract, including the stomach and intestines. They cause varying symptoms like pain or bloating. Dietary adjustments and medical care are common."
